iter	Passed	Remaining
0	135	134884
1	136	68206
2	138	45950
3	139	34714
4	141	28208
5	143	23848
6	146	20726
7	147	18299
8	149	16457
9	151	15013
10	153	13765
11	154	12715
12	155	11809
13	156	11030
14	157	10341
15	158	9736
16	159	9202
17	160	8732
18	160	8297
19	161	7904
20	161	7552
21	162	7226
22	163	6939
23	164	6679
24	165	6449
25	165	6216
26	166	5999
27	167	5799
28	167	5611
29	168	5437
30	168	5274
31	169	5120
32	169	4974
33	170	4841
34	170	4712
35	171	4591
36	171	4474
37	172	4367
38	173	4263
39	173	4167
40	174	4073
41	174	3984
42	175	3898
43	175	3817
44	176	3742
45	176	3669
46	177	3602
47	178	3535
48	179	3477
49	179	3419
50	180	3359
51	181	3303
52	181	3251
53	182	3196
54	183	3145
55	183	3095
56	184	3049
57	184	3001
58	185	2957
59	185	2913
60	186	2872
61	187	2831
62	187	2790
63	188	2752
64	188	2714
65	189	2677
66	189	2642
67	190	2608
68	190	2575
69	191	2543
70	192	2513
71	192	2481
72	193	2451
73	194	2429
74	194	2404
75	195	2378
76	196	2350
77	196	2324
78	197	2298
79	197	2274
80	198	2249
81	198	2225
82	199	2199
83	199	2176
84	200	2154
85	200	2132
86	201	2112
87	201	2092
88	202	2071
89	202	2052
90	203	2033
91	204	2013
92	204	1995
93	205	1979
94	205	1962
95	206	1944
96	206	1926
97	207	1909
98	207	1892
99	208	1880
100	209	1868
101	210	1854
102	211	1840
103	212	1826
104	212	1813
105	213	1799
106	214	1787
107	214	1774
108	215	1762
109	216	1750
110	217	1738
111	217	1726
112	218	1715
113	219	1704
114	219	1692
115	220	1681
116	221	1668
117	221	1657
118	222	1646
119	222	1635
120	223	1624
121	224	1616
122	225	1607
123	226	1597
124	226	1586
125	227	1576
126	227	1565
127	228	1556
128	229	1546
129	229	1537
130	230	1527
131	230	1518
132	231	1509
133	232	1499
134	232	1491
135	233	1482
136	233	1473
137	234	1465
138	235	1456
139	235	1448
140	236	1439
141	236	1430
142	237	1421
143	237	1413
144	238	1406
145	239	1401
146	240	1395
147	241	1388
148	241	1381
149	242	1374
150	243	1367
151	243	1361
152	244	1354
153	245	1348
154	246	1341
155	246	1335
156	247	1329
157	248	1323
158	249	1318
159	249	1312
160	250	1304
161	251	1298
162	251	1292
163	252	1286
164	253	1281
165	254	1278
166	255	1272
167	255	1266
168	256	1261
169	257	1255
170	257	1250
171	258	1244
172	259	1239
173	259	1234
174	260	1228
175	262	1226
176	262	1221
177	263	1216
178	264	1211
179	264	1206
180	265	1201
181	266	1196
182	267	1192
183	267	1187
184	268	1184
185	269	1180
186	270	1177
187	271	1173
188	272	1168
189	273	1164
190	273	1159
191	274	1155
192	275	1150
193	275	1146
194	276	1141
195	277	1137
196	277	1132
197	278	1128
